x,y,color,pen down?,x,y,color,pen down?
550,3,15,true,550,2,105,true
551,3,15,true,551,2,105,true
552,3,15,true,552,2,105,true
553,3,15,true,553,2,105,true
554,3,15,true,554,2,105,true
555,3,15,true,555,2,105,true
556,3,15,true,556,2,105,true
557,3,15,true,557,2,105,true
558,3,15,true,558,2,105,true
559,3,15,true,559,2,105,true
560,3,15,true,560,2,105,true
561,3,15,true,561,2,105,true
562,3,15,true,562,2,105,true
563,3,15,true,563,2,105,true
564,3,15,true,564,2,105,true
565,3,15,true,565,2,105,true
566,3,15,true,566,2,105,true
567,3,15,true,567,2,105,true
568,3,15,true,568,2,105,true
569,3,15,true,569,2,105,true
570,3,15,true,570,2,105,true
571,3,15,true,571,2,105,true
572,3,15,true,572,2,105,true
573,3,15,true,573,2,105,true
574,3,15,true,574,2,105,true
575,3,15,true,575,2,105,true
576,3,15,true,576,2,105,true
577,3,15,true,577,2,105,true
578,3,15,true,578,2,105,true
579,3,15,true,579,2,105,true
580,3,15,true,580,2,105,true
581,3,15,true,581,2,105,true
582,3,15,true,582,2,105,true
583,3,15,true,583,2,105,true
584,3,15,true,584,2,105,true
585,3,15,true,585,2,105,true
586,3,15,true,586,2,105,true
587,3,15,true,587,2,105,true
588,3,15,true,588,2,105,true
589,3,15,true,589,2,105,true
590,3,15,true,590,2,105,true
591,3,15,true,591,2,105,true
592,3,15,true,592,2,105,true
593,3,15,true,593,2,105,true
594,3,15,true,594,2,105,true
595,3,15,true,595,2,105,true
596,3,15,true,596,2,105,true
597,3,15,true,597,2,105,true
598,3,15,true,598,2,105,true
599,3,15,true,599,2,105,true
600,4,15,true,600,2,105,true
601,4,15,true,601,2,105,true
602,4,15,true,602,2,105,true
603,4,15,true,603,2,105,true
604,4,15,true,604,2,105,true
605,4,15,true,605,2,105,true
606,4,15,true,606,2,105,true
607,4,15,true,607,2,105,true
608,4,15,true,608,2,105,true
609,4,15,true,609,2,105,true
610,4,15,true,610,2,105,true
611,4,15,true,611,2,105,true
612,4,15,true,612,2,105,true
613,4,15,true,613,2,105,true
614,4,15,true,614,2,105,true
615,4,15,true,615,2,105,true
616,4,15,true,616,2,105,true
617,4,15,true,617,2,105,true
618,4,15,true,618,2,105,true
619,4,15,true,619,2,105,true
620,4,15,true,620,2,105,true
621,4,15,true,621,2,105,true
622,4,15,true,622,2,105,true
623,4,15,true,623,2,105,true
624,4,15,true,624,2,105,true
625,4,15,true,625,2,105,true
626,4,15,true,626,2,105,true
627,4,15,true,627,2,105,true
628,4,15,true,628,2,105,true
629,4,15,true,629,2,105,true
630,4,15,true,630,2,105,true
631,4,15,true,631,2,105,true
632,4,15,true,632,2,105,true
633,4,15,true,633,2,105,true
634,4,15,true,634,2,105,true
635,4,15,true,635,2,105,true
636,4,15,true,636,2,105,true
637,4,15,true,637,2,105,true
638,4,15,true,638,2,105,true
639,4,15,true,639,2,105,true
640,4,15,true,640,2,105,true
641,4,15,true,641,2,105,true
642,4,15,true,642,2,105,true
643,4,15,true,643,2,105,true
644,4,15,true,644,2,105,true
645,4,15,true,645,2,105,true
646,4,15,true,646,2,105,true
647,4,15,true,647,2,105,true
648,4,15,true,648,2,105,true
649,4,15,true,649,2,105,true
650,4,15,true,650,2,105,true
651,4,15,true,651,2,105,true
652,4,15,true,652,2,105,true
653,4,15,true,653,2,105,true
654,5,15,true,654,2,105,true
655,5,15,true,655,2,105,true
656,5,15,true,656,2,105,true
657,5,15,true,657,2,105,true
658,5,15,true,658,2,105,true
659,6,15,true,659,2,105,true
660,6,15,true,660,2,105,true
661,6,15,true,661,2,105,true
662,7,15,true,662,2,105,true
663,7,15,true,663,2,105,true
664,7,15,true,664,2,105,true
665,7,15,true,665,2,105,true
666,7,15,true,666,2,105,true
667,7,15,true,667,2,105,true
668,7,15,true,668,2,105,true
669,7,15,true,669,2,105,true
670,8,15,true,670,2,105,true
671,8,15,true,671,2,105,true
672,8,15,true,672,2,105,true
673,8,15,true,673,2,105,true
674,8,15,true,674,2,105,true
675,8,15,true,675,2,105,true
676,8,15,true,676,2,105,true
677,8,15,true,677,2,105,true
678,8,15,true,678,2,105,true
679,8,15,true,679,2,105,true
680,8,15,true,680,2,105,true
681,8,15,true,681,2,105,true
682,8,15,true,682,2,105,true
683,8,15,true,683,2,105,true
684,8,15,true,684,2,105,true
685,8,15,true,685,2,105,true
686,8,15,true,686,2,105,true
687,8,15,true,687,2,105,true
688,8,15,true,688,2,105,true
689,8,15,true,689,2,105,true
690,8,15,true,690,2,105,true
691,8,15,true,691,2,105,true
692,8,15,true,692,2,105,true
693,8,15,true,693,2,105,true
694,8,15,true,694,2,105,true
695,8,15,true,695,2,105,true
696,8,15,true,696,2,105,true
697,8,15,true,697,2,105,true
698,8,15,true,698,2,105,true
699,8,15,true,699,2,105,true
700,9,15,true,700,2,105,true
701,9,15,true,701,2,105,true
702,10,15,true,702,2,105,true
703,10,15,true,703,2,105,true
704,10,15,true,704,2,105,true
